"mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","speed_lim","ticket_amount"
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",75,0
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",75,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",75,0
33.9,4,71.1,78,4.22,19.9,1,1,4,1,1567,"car_type_20",75,1001
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",75,861
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",75,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",75,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",75,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",75,0
17.8,6,167.6,154,3.92,18.9,1,0,4,4,3160,"car_type_11",75,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",75,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",75,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",75,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",75,0
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",75,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",75,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",75,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",75,0
22.8,4,108,115,3.85,18.61,1,1,4,1,2044,"car_type_3",75,1063
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",75,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",75,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",75,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",75,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",75,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",75,926
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,1148
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",75,1013
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",75,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",75,1004
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",75,0
19.2,8,400,214,3.08,17.05,0,0,3,2,3783,"car_type_25",75,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",75,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",75,0
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",75,895
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",75,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",75,0
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",75,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,0
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",75,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",75,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",75,0
19.2,6,167.6,143,3.92,18.3,1,0,4,4,2987,"car_type_10",75,918
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",75,0
26,4,120.3,103,4.43,16.7,0,1,5,2,2238,"car_type_27",75,856
19.2,8,400,215,3.08,17.05,0,0,3,2,3332,"car_type_25",75,1052
24.4,4,146.7,78,3.69,20,1,0,4,2,2660,"car_type_8",75,1123
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",75,0
32.4,4,78.7,82,4.08,19.47,1,1,4,1,1975,"car_type_18",75,1095
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",75,1037
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",75,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",75,0
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",75,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",75,982
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",75,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",75,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",75,843
17.3,8,275.8,228,3.07,17.6,0,0,3,3,3358,"car_type_13",75,1137
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",75,0
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",75,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",75,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",75,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",75,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",75,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",75,0
21.4,6,258,125,3.08,19.44,1,0,3,1,2898,"car_type_4",75,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",75,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",75,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",75,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",75,0
22.8,4,108,109,3.85,18.61,1,1,4,1,1885,"car_type_3",75,0
22.8,4,108,111,3.85,18.61,1,1,4,1,2071,"car_type_3",75,989
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",75,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",75,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",75,0
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",75,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",75,0
