"fips","state","id","file_type","file_rand","name_switch"
"24","Maryland",24,NA,"single",TRUE
"24","Maryland",16,NA,"single",TRUE
"24","Maryland",1,NA,"single",TRUE
"24","Maryland",31,NA,"single",FALSE
"24","Maryland",4,NA,"single",FALSE
"24","Maryland",25,NA,"single",TRUE
"24","Maryland",18,NA,"single",TRUE
"24","Maryland",11,NA,"single",TRUE
"24","Maryland",9,NA,"single",TRUE
"24","Maryland",6,NA,"single",FALSE
"24","Maryland",27,NA,"single",TRUE
"24","Maryland",3,NA,"single",FALSE
"24","Maryland",14,NA,"single",TRUE
"24","Maryland",7,NA,"single",TRUE
