"fips","state","id","file_type","file_rand","name_switch"
"20","Kansas",8,NA,"single",TRUE
"20","Kansas",26,NA,"single",TRUE
"20","Kansas",20,NA,"single",TRUE
"20","Kansas",30,NA,"single",FALSE
"20","Kansas",16,NA,"single",FALSE
"20","Kansas",17,NA,"single",FALSE
"20","Kansas",27,NA,"single",TRUE
"20","Kansas",23,NA,"single",FALSE
"20","Kansas",25,NA,"single",TRUE
"20","Kansas",13,NA,"single",FALSE
"20","Kansas",10,NA,"single",FALSE
"20","Kansas",7,NA,"single",FALSE
"20","Kansas",9,NA,"single",TRUE
