"fips","state","id","file_type","file_rand","name_switch"
"45","South Carolina",26,NA,"single",FALSE
"45","South Carolina",25,NA,"single",FALSE
"45","South Carolina",13,NA,"single",FALSE
"45","South Carolina",1,NA,"single",TRUE
"45","South Carolina",4,NA,"single",FALSE
"45","South Carolina",23,NA,"single",FALSE
"45","South Carolina",8,NA,"single",FALSE
"45","South Carolina",15,NA,"single",FALSE
"45","South Carolina",3,NA,"single",FALSE
"45","South Carolina",21,NA,"single",FALSE
"45","South Carolina",6,NA,"single",TRUE
"45","South Carolina",12,NA,"single",TRUE
"45","South Carolina",24,NA,"single",FALSE
