"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","id","speed_lim","ticket_amount"
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"car_type_3",65,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",65,0
10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,"car_type_15",65,0
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"car_type_24",65,926
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",65,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",65,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",65,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",65,0
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",65,0
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"car_type_3",65,0
21.4,4,121,130,4.11,2.78,18.6,1,1,4,2,"car_type_32",65,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",65,907
21.5,4,120.1,126,3.7,2.465,20.01,1,0,3,1,"car_type_21",65,0
21.5,4,120.1,116,3.7,2.465,20.01,1,0,3,1,"car_type_21",65,997
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,"car_type_5",65,0
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",65,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",65,0
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",65,0
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"car_type_31",65,1009
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",65,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",65,953
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"car_type_22",65,0
21,6,160,123,3.9,2.875,17.02,0,1,4,4,"car_type_2",65,836
17.8,6,167.6,157,3.92,3.44,18.9,1,0,4,4,"car_type_11",65,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",65,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",65,0
21,6,160,127,3.9,2.62,16.46,0,1,4,4,"car_type_1",65,901
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"car_type_3",65,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",65,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",65,0
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,"car_type_28",65,1154
