"fips","state","id","file_type","file_rand","name_switch"
"46","South Dakota",2,NA,"single",FALSE
"46","South Dakota",22,NA,"single",FALSE
"46","South Dakota",8,NA,"single",TRUE
"46","South Dakota",10,NA,"single",TRUE
"46","South Dakota",3,NA,"single",FALSE
"46","South Dakota",20,NA,"single",TRUE
"46","South Dakota",21,NA,"single",FALSE
"46","South Dakota",25,NA,"single",TRUE
"46","South Dakota",26,NA,"single",FALSE
"46","South Dakota",30,NA,"single",FALSE
"46","South Dakota",28,NA,"single",TRUE
"46","South Dakota",27,NA,"single",TRUE
"46","South Dakota",12,NA,"single",TRUE
"46","South Dakota",32,NA,"single",FALSE
"46","South Dakota",23,NA,"single",FALSE
"46","South Dakota",14,NA,"single",FALSE
"46","South Dakota",19,NA,"single",FALSE
"46","South Dakota",17,NA,"single",FALSE
