"fips","state","id","file_type","file_rand","name_switch"
"05","Arkansas",2,NA,"single",FALSE
"05","Arkansas",10,NA,"single",TRUE
"05","Arkansas",7,NA,"single",FALSE
"05","Arkansas",13,NA,"single",FALSE
"05","Arkansas",12,NA,"single",TRUE
"05","Arkansas",20,NA,"single",FALSE
"05","Arkansas",17,NA,"single",TRUE
"05","Arkansas",1,NA,"single",TRUE
"05","Arkansas",5,NA,"single",FALSE
"05","Arkansas",16,NA,"single",FALSE
"05","Arkansas",9,NA,"single",TRUE
"05","Arkansas",25,NA,"single",FALSE
"05","Arkansas",31,NA,"single",FALSE
