"fips","state","id","file_type","file_rand","name_switch"
"36","New York",19,NA,"single",FALSE
"36","New York",17,NA,"single",FALSE
"36","New York",5,NA,"single",TRUE
"36","New York",8,NA,"single",FALSE
"36","New York",9,NA,"single",FALSE
"36","New York",7,NA,"single",FALSE
"36","New York",12,NA,"single",FALSE
"36","New York",2,NA,"single",FALSE
"36","New York",24,NA,"single",TRUE
"36","New York",29,NA,"single",FALSE
"36","New York",20,NA,"single",TRUE
"36","New York",32,NA,"single",TRUE
"36","New York",26,NA,"single",FALSE
"36","New York",11,NA,"single",TRUE
