"fips","state","id","file_type","file_rand","name_switch"
"34","New Jersey",3,NA,"single",TRUE
"34","New Jersey",18,NA,"single",FALSE
"34","New Jersey",24,NA,"single",FALSE
"34","New Jersey",9,NA,"single",FALSE
"34","New Jersey",6,NA,"single",TRUE
"34","New Jersey",12,NA,"single",TRUE
"34","New Jersey",10,NA,"single",FALSE
"34","New Jersey",22,NA,"single",TRUE
"34","New Jersey",2,NA,"single",FALSE
"34","New Jersey",11,NA,"single",TRUE
"34","New Jersey",28,NA,"single",TRUE
"34","New Jersey",17,NA,"single",FALSE
"34","New Jersey",14,NA,"single",TRUE
