"fips","state","id","file_type","file_rand","name_switch"
"32","Nevada",10,NA,"single",FALSE
"32","Nevada",1,NA,"single",FALSE
"32","Nevada",18,NA,"single",TRUE
"32","Nevada",27,NA,"single",TRUE
"32","Nevada",28,NA,"single",TRUE
"32","Nevada",22,NA,"single",FALSE
"32","Nevada",21,NA,"single",FALSE
"32","Nevada",11,NA,"single",TRUE
"32","Nevada",17,NA,"single",FALSE
"32","Nevada",25,NA,"single",TRUE
"32","Nevada",9,NA,"single",FALSE
"32","Nevada",6,NA,"single",TRUE
"32","Nevada",31,NA,"single",TRUE
"32","Nevada",24,NA,"single",TRUE
"32","Nevada",5,NA,"single",TRUE
"32","Nevada",4,NA,"single",TRUE
"32","Nevada",7,NA,"single",TRUE
