"fips","state","id","file_type","file_rand","name_switch"
"53","Washington",28,NA,"single",TRUE
"53","Washington",30,NA,"single",FALSE
"53","Washington",24,NA,"single",FALSE
"53","Washington",25,NA,"single",FALSE
"53","Washington",14,NA,"single",TRUE
"53","Washington",20,NA,"single",TRUE
"53","Washington",18,NA,"single",FALSE
"53","Washington",15,NA,"single",FALSE
"53","Washington",21,NA,"single",TRUE
"53","Washington",17,NA,"single",TRUE
"53","Washington",19,NA,"single",TRUE
"53","Washington",7,NA,"single",FALSE
"53","Washington",8,NA,"single",TRUE
"53","Washington",16,NA,"single",FALSE
"53","Washington",10,NA,"single",TRUE
