"fips","state","id","file_type","file_rand","name_switch"
"31","Nebraska",27,NA,"single",TRUE
"31","Nebraska",31,NA,"single",FALSE
"31","Nebraska",7,NA,"single",FALSE
"31","Nebraska",26,NA,"single",FALSE
"31","Nebraska",9,NA,"single",FALSE
"31","Nebraska",18,NA,"single",FALSE
"31","Nebraska",29,NA,"single",TRUE
"31","Nebraska",19,NA,"single",FALSE
"31","Nebraska",8,NA,"single",TRUE
"31","Nebraska",4,NA,"single",FALSE
"31","Nebraska",10,NA,"single",TRUE
"31","Nebraska",22,NA,"single",FALSE
"31","Nebraska",16,NA,"single",TRUE
"31","Nebraska",30,NA,"single",FALSE
"31","Nebraska",6,NA,"single",TRUE
"31","Nebraska",3,NA,"single",FALSE
