"fips","state","id","file_type","file_rand","name_switch"
"13","Georgia",17,NA,"single",TRUE
"13","Georgia",26,NA,"single",TRUE
"13","Georgia",10,NA,"single",TRUE
"13","Georgia",16,NA,"single",FALSE
"13","Georgia",9,NA,"single",TRUE
"13","Georgia",7,NA,"single",FALSE
"13","Georgia",32,NA,"single",FALSE
"13","Georgia",24,NA,"single",FALSE
"13","Georgia",25,NA,"single",TRUE
"13","Georgia",23,NA,"single",TRUE
"13","Georgia",4,NA,"single",TRUE
"13","Georgia",19,NA,"single",TRUE
"13","Georgia",21,NA,"single",TRUE
"13","Georgia",5,NA,"single",TRUE
"13","Georgia",12,NA,"single",TRUE
"13","Georgia",3,NA,"single",TRUE
"13","Georgia",1,NA,"single",FALSE
