"fips","state","id","file_type","file_rand","name_switch"
"33","New Hampshire",6,NA,"single",FALSE
"33","New Hampshire",13,NA,"single",TRUE
"33","New Hampshire",28,NA,"single",TRUE
"33","New Hampshire",8,NA,"single",TRUE
"33","New Hampshire",30,NA,"single",FALSE
"33","New Hampshire",4,NA,"single",TRUE
"33","New Hampshire",11,NA,"single",FALSE
"33","New Hampshire",20,NA,"single",TRUE
"33","New Hampshire",21,NA,"single",FALSE
"33","New Hampshire",5,NA,"single",TRUE
"33","New Hampshire",22,NA,"single",TRUE
"33","New Hampshire",23,NA,"single",FALSE
"33","New Hampshire",27,NA,"single",TRUE
"33","New Hampshire",29,NA,"single",TRUE
